phone_number,scam_type,call_date (2020-09-30T19:04),notes
212545456,test scam,2020-09-30T19:04,test note about scam number
18337867890,unknown,2020-09-30T19:04,test note about scam number
18885603773,unknown,2020-09-30T19:05,test note about scam number
18003222590,unknown,2020-09-30T19:06,test note about scam number
18009784501,unknown,2020-09-30T19:07,test note about scam number
18009780818,unknown,2020-09-30T19:08,test note about scam number
18002966308,unknown,2020-09-30T19:09,test note about scam number
18779778579,unknown,2020-09-30T19:10,test note about scam number
18884095210,unknown,2020-09-30T19:11,test note about scam number
18007660446,unknown,2020-09-30T19:12,test note about scam number
18003047921,unknown,2020-09-30T19:13,test note about scam number
18772509593,unknown,2020-09-30T19:14,test note about scam number
18007976023,unknown,2020-09-30T19:15,test note about scam number
18333931303,unknown,2020-09-30T19:16,test note about scam number
18777833385,unknown,2020-09-30T19:17,test note about scam number
18888861969,unknown,2020-09-30T19:18,test note about scam number
18553899900,unknown,2020-09-30T19:19,test note about scam number
